time_sec,seq,ax_ms2,ay_ms2,az_ms2,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
671.960000,67196,0.034000,-0.851000,9.802000,0.003467,-0.086778,0.999526,0.000000,-0.001000,-0.001000
671.970000,67197,0.042000,-0.852000,9.812000,0.004283,-0.086880,1.000546,0.000000,-0.001000,-0.002000
671.980000,67198,0.029000,-0.846000,9.825000,0.002957,-0.086268,1.001871,0.000000,0.000000,0.000000
671.990000,67199,0.044000,-0.842000,9.817000,0.004487,-0.085860,1.001055,0.000000,-0.003000,-0.002000
672.000000,67200,0.043000,-0.841000,9.832000,0.004385,-0.085758,1.002585,0.000000,-0.001000,-0.001000
672.010000,67201,0.039000,-0.857000,9.806000,0.003977,-0.087390,0.999934,0.000000,0.000000,0.000000
672.020000,67202,0.035000,-0.844000,9.813000,0.003569,-0.086064,1.000648,0.001000,-0.001000,-0.002000
672.030000,67203,0.046000,-0.845000,9.823000,0.004691,-0.086166,1.001667,-0.001000,-0.001000,-0.001000
672.040000,67204,0.043000,-0.856000,9.814000,0.004385,-0.087288,1.000749,0.001000,-0.001000,-0.001000
672.050000,67205,0.047000,-0.855000,9.827000,0.004793,-0.087186,1.002075,0.000000,-0.001000,-0.001000
672.060000,67206,0.039000,-0.846000,9.829000,0.003977,-0.086268,1.002279,0.000000,-0.002000,-0.001000
672.070000,67207,0.039000,-0.843000,9.829000,0.003977,-0.085962,1.002279,0.000000,-0.001000,0.000000
672.080000,67208,0.022000,-0.831000,9.811000,0.002243,-0.084738,1.000444,0.000000,-0.001000,0.000000
672.090000,67209,0.046000,-0.851000,9.835000,0.004691,-0.086778,1.002891,0.001000,-0.001000,0.000000
672.100000,67210,0.042000,-0.839000,9.856000,0.004283,-0.085554,1.005032,0.002000,-0.001000,-0.001000
672.110000,67211,0.034000,-0.848000,9.802000,0.003467,-0.086472,0.999526,-0.003000,0.000000,0.000000
672.120000,67212,0.040000,-0.836000,9.797000,0.004079,-0.085248,0.999016,0.000000,-0.001000,0.000000
672.130000,67213,0.044000,-0.832000,9.821000,0.004487,-0.084840,1.001463,0.000000,-0.001000,-0.001000
672.140000,67214,0.053000,-0.851000,9.847000,0.005404,-0.086778,1.004115,0.001000,-0.001000,-0.001000
672.150000,67215,0.053000,-0.838000,9.831000,0.005404,-0.085452,1.002483,0.000000,-0.001000,-0.001000
672.160000,67216,0.025000,-0.848000,9.815000,0.002549,-0.086472,1.000851,0.000000,-0.002000,-0.001000
672.170000,67217,0.041000,-0.843000,9.836000,0.004181,-0.085962,1.002993,0.000000,-0.001000,-0.002000
672.180000,67218,0.047000,-0.847000,9.832000,0.004793,-0.086370,1.002585,-0.001000,0.000000,-0.001000
672.190000,67219,0.043000,-0.839000,9.830000,0.004385,-0.085554,1.002381,0.000000,-0.001000,-0.001000
672.200000,67220,0.039000,-0.836000,9.823000,0.003977,-0.085248,1.001667,0.000000,-0.001000,0.000000
672.210000,67221,0.052000,-0.850000,9.834000,0.005303,-0.086676,1.002789,0.000000,-0.002000,-0.001000
672.220000,67222,0.022000,-0.857000,9.830000,0.002243,-0.087390,1.002381,0.000000,-0.002000,-0.002000
672.230000,67223,0.044000,-0.833000,9.809000,0.004487,-0.084942,1.000240,0.000000,-0.001000,0.000000
672.240000,67224,0.040000,-0.844000,9.827000,0.004079,-0.086064,1.002075,0.000000,-0.002000,-0.001000
672.250000,67225,0.050000,-0.855000,9.830000,0.005099,-0.087186,1.002381,0.000000,-0.001000,-0.001000
672.260000,67226,0.028000,-0.837000,9.821000,0.002855,-0.085350,1.001463,0.000000,-0.001000,-0.001000
672.270000,67227,0.042000,-0.845000,9.807000,0.004283,-0.086166,1.000036,-0.001000,-0.002000,-0.001000
672.280000,67228,0.035000,-0.838000,9.811000,0.003569,-0.085452,1.000444,0.000000,-0.001000,0.000000
672.290000,67229,0.025000,-0.845000,9.808000,0.002549,-0.086166,1.000138,0.000000,-0.001000,-0.001000
672.300000,67230,0.028000,-0.842000,9.828000,0.002855,-0.085860,1.002177,0.000000,-0.001000,0.000000
672.310000,67231,0.032000,-0.840000,9.828000,0.003263,-0.085656,1.002177,-0.001000,-0.001000,-0.001000
672.320000,67232,0.026000,-0.840000,9.815000,0.002651,-0.085656,1.000851,-0.001000,-0.002000,-0.001000
672.330000,67233,0.038000,-0.852000,9.833000,0.003875,-0.086880,1.002687,0.000000,-0.001000,0.000000
672.340000,67234,0.040000,-0.834000,9.818000,0.004079,-0.085044,1.001157,-0.001000,-0.001000,0.000000
672.350000,67235,0.043000,-0.835000,9.818000,0.004385,-0.085146,1.001157,0.000000,-0.001000,-0.001000
672.360000,67236,0.025000,-0.840000,9.807000,0.002549,-0.085656,1.000036,-0.002000,-0.001000,-0.001000
672.370000,67237,0.058000,-0.854000,9.813000,0.005914,-0.087084,1.000648,0.000000,-0.002000,-0.001000
672.380000,67238,0.043000,-0.854000,9.826000,0.004385,-0.087084,1.001973,-0.002000,-0.001000,-0.001000
672.390000,67239,0.038000,-0.842000,9.829000,0.003875,-0.085860,1.002279,-0.001000,-0.001000,0.000000
672.400000,67240,0.030000,-0.839000,9.808000,0.003059,-0.085554,1.000138,0.000000,0.000000,-0.001000
672.410000,67241,0.052000,-0.846000,9.826000,0.005303,-0.086268,1.001973,0.000000,-0.001000,0.000000
672.420000,67242,0.025000,-0.845000,9.842000,0.002549,-0.086166,1.003605,-0.001000,-0.001000,0.000000
672.430000,67243,0.048000,-0.842000,9.821000,0.004895,-0.085860,1.001463,0.000000,-0.001000,0.000000
672.440000,67244,0.047000,-0.839000,9.790000,0.004793,-0.085554,0.998302,-0.001000,-0.002000,0.000000
672.450000,67245,0.046000,-0.837000,9.833000,0.004691,-0.085350,1.002687,0.000000,-0.001000,-0.001000
672.460000,67246,0.035000,-0.860000,9.826000,0.003569,-0.087696,1.001973,-0.002000,-0.001000,-0.002000
672.470000,67247,0.023000,-0.847000,9.832000,0.002345,-0.086370,1.002585,0.002000,0.000000,0.000000
672.480000,67248,0.042000,-0.843000,9.814000,0.004283,-0.085962,1.000749,0.000000,0.000000,-0.002000
672.490000,67249,0.041000,-0.832000,9.810000,0.004181,-0.084840,1.000342,0.001000,-0.001000,-0.001000
672.500000,67250,0.037000,-0.846000,9.860000,0.003773,-0.086268,1.005440,0.002000,-0.001000,0.000000
672.510000,67251,1.729000,-3.469000,9.037000,0.176309,-0.353740,0.921518,0.155000,-0.033000,0.405000
672.520000,67252,2.894000,-4.699000,9.861000,0.295106,-0.479165,1.005542,0.637000,-0.173000,2.604000
672.530000,67253,-1.598000,-2.504000,10.049000,-0.162951,-0.255337,1.024713,-0.270000,-0.362000,5.584000
672.540000,67254,-2.258000,-1.256000,7.570000,-0.230252,-0.128076,0.771925,-0.683000,-0.157000,2.110000
672.550000,67255,-1.079000,0.058000,9.399000,-0.110027,0.005914,0.958431,0.049000,0.249000,-2.980000
672.560000,67256,-1.259000,1.630000,9.273000,-0.128382,0.166214,0.945583,0.400000,0.235000,-2.854000
672.570000,67257,-0.237000,2.929000,9.922000,-0.024167,0.298675,1.011762,-0.055000,-0.019000,0.000000
672.580000,67258,0.144000,1.660000,9.930000,0.014684,0.169273,1.012578,0.009000,-0.061000,0.735000
672.590000,67259,0.702000,-0.599000,9.985000,0.071584,-0.061081,1.018187,0.318000,-0.012000,-0.050000
672.600000,67260,1.602000,-0.778000,11.065000,0.163359,-0.079334,1.128316,0.068000,0.014000,0.105000
672.610000,67261,-0.248000,-1.152000,9.368000,-0.025289,-0.117471,0.955270,-0.087000,-0.009000,0.036000
672.620000,67262,0.037000,-0.212000,10.476000,0.003773,-0.021618,1.068255,0.216000,-0.002000,-0.004000
672.630000,67263,0.047000,-0.939000,9.774000,0.004793,-0.095751,0.996671,-0.240000,0.000000,-0.005000
672.640000,67264,0.034000,-0.723000,9.967000,0.003467,-0.073725,1.016351,0.058000,-0.001000,0.000000
672.650000,67265,0.024000,-0.711000,9.982000,0.002447,-0.072502,1.017881,-0.070000,-0.001000,-0.003000
672.660000,67266,-0.171000,-0.836000,9.701000,-0.017437,-0.085248,0.989227,0.115000,0.005000,-0.086000
672.670000,67267,-0.105000,-0.712000,9.823000,-0.010707,-0.072604,1.001667,0.231000,0.014000,-0.263000
672.680000,67268,0.245000,-0.845000,9.976000,0.024983,-0.086166,1.017269,0.023000,0.013000,-0.216000
672.690000,67269,0.043000,-0.920000,9.751000,0.004385,-0.093814,0.994325,-0.100000,0.002000,-0.056000
672.700000,67270,0.000000,-0.969000,9.659000,0.000000,-0.098811,0.984944,-0.031000,-0.002000,-0.039000
672.710000,67271,-0.008000,-0.725000,9.902000,-0.000816,-0.073929,1.009723,0.045000,0.005000,-0.168000
672.720000,67272,0.132000,-0.915000,9.820000,0.013460,-0.093304,1.001361,-0.024000,0.014000,-0.182000
672.730000,67273,-0.159000,-0.722000,9.799000,-0.016213,-0.073624,0.999220,0.091000,0.018000,-0.354000
672.740000,67274,0.470000,-1.025000,9.989000,0.047927,-0.104521,1.018595,0.098000,0.015000,-0.438000
672.750000,67275,-0.036000,-0.803000,9.772000,-0.003671,-0.081883,0.996467,-0.008000,-0.002000,0.038000
672.760000,67276,-0.045000,-0.881000,9.723000,-0.004589,-0.089837,0.991470,0.021000,0.000000,-0.009000
672.770000,67277,-0.049000,-0.762000,9.829000,-0.004997,-0.077702,1.002279,0.127000,0.004000,-0.096000
672.780000,67278,0.011000,-0.855000,9.744000,0.001122,-0.087186,0.993611,-0.199000,0.006000,-0.033000
672.790000,67279,0.004000,-1.072000,9.553000,0.000408,-0.109314,0.974135,-0.114000,0.009000,-0.062000
672.800000,67280,0.023000,-0.795000,9.847000,0.002345,-0.081067,1.004115,-0.004000,-0.002000,0.002000
672.810000,67281,0.030000,-0.877000,9.778000,0.003059,-0.089429,0.997079,-0.020000,0.000000,-0.007000
672.820000,67282,0.016000,-0.815000,9.836000,0.001632,-0.083107,1.002993,-0.005000,-0.002000,-0.002000
672.830000,67283,0.005000,-0.849000,9.794000,0.000510,-0.086574,0.998710,-0.009000,0.000000,-0.008000
672.840000,67284,0.040000,-0.821000,9.843000,0.004079,-0.083719,1.003707,0.003000,0.000000,-0.011000
672.850000,67285,0.026000,-0.824000,9.803000,0.002651,-0.084025,0.999628,0.000000,-0.001000,-0.007000
672.860000,67286,0.037000,-0.817000,9.847000,0.003773,-0.083311,1.004115,0.005000,0.000000,-0.009000
672.870000,67287,0.038000,-0.851000,9.814000,0.003875,-0.086778,1.000749,-0.004000,-0.001000,-0.004000
672.880000,67288,0.034000,-0.823000,9.817000,0.003467,-0.083923,1.001055,0.000000,-0.001000,-0.001000
672.890000,67289,0.022000,-0.819000,9.818000,0.002243,-0.083515,1.001157,-0.002000,-0.001000,-0.003000
672.900000,67290,-0.072000,-0.796000,9.779000,-0.007342,-0.081169,0.997180,0.007000,0.004000,-0.039000
672.910000,67291,-0.001000,-0.834000,9.775000,-0.000102,-0.085044,0.996773,0.057000,0.013000,-0.120000
672.920000,67292,0.050000,-0.820000,9.828000,0.005099,-0.083617,1.002177,0.000000,-0.001000,-0.011000
672.930000,67293,0.077000,-0.998000,9.672000,0.007852,-0.101768,0.986270,0.009000,-0.003000,0.015000
672.940000,67294,0.037000,-0.967000,9.638000,0.003773,-0.098607,0.982802,0.123000,-0.004000,0.053000
672.950000,67295,-0.038000,-1.044000,9.498000,-0.003875,-0.106458,0.968526,0.089000,-0.010000,0.058000
672.960000,67296,0.047000,-1.343000,9.207000,0.004793,-0.136948,0.938853,0.466000,-0.008000,-0.003000
672.970000,67297,0.040000,0.085000,10.554000,0.004079,0.008668,1.076208,0.150000,-0.002000,0.007000
672.980000,67298,0.017000,-0.483000,9.997000,0.001734,-0.049252,1.019410,-0.409000,-0.002000,0.009000
672.990000,67299,0.025000,-1.213000,9.369000,0.002549,-0.123692,0.955372,-0.626000,-0.001000,-0.007000
673.000000,67300,0.032000,-1.338000,9.320000,0.003263,-0.136438,0.950376,-0.252000,-0.002000,-0.005000
